Ссылка,Адрес,Цена,Тип помещения,Площадь,Этаж,Этажей в доме,Телефон
https://cian.ru/rent/commercial/214428872/,"Челябинская область, Челябинск, р-н Курчатовский, Свердловский просп., 2",92625,Офис,142.5,1,5,+79823008655
https://cian.ru/rent/commercial/244355412/,"Челябинская область, Челябинск, р-н Советский, просп. Ленина, 21В",140000,Свобод. назнач.,140.0,1,7,+79193107992
https://cian.ru/rent/commercial/276772152/,"Челябинская область, Челябинск, р-н Центральный, ул. Пушкина, 12",180000,Офис,242.3,1,6,+79823572053
https://cian.ru/rent/commercial/280534711/,"Челябинская область, Челябинск, р-н Советский, ул. Орджоникидзе, 41",84500,Офис,207.0,3,10,+79193310737
https://cian.ru/rent/commercial/284651545/,"Челябинская область, Челябинск, р-н Центральный, ул. Героя России А.В. Яковлева, 5",50000,Офис,47.0,3,25,+79823609865
https://cian.ru/rent/commercial/284730793/,"Челябинская область, Челябинск, р-н Центральный, ул. 1-й Участок Мелькомбината 2, 3",92925,Офис,265.5,1,3,+79124012468
https://cian.ru/rent/commercial/285019220/,"Челябинская область, Челябинск, р-н Курчатовский, ул. Косарева, 2А",60000,Офис,120.0,2,2,+79823777899
https://cian.ru/rent/commercial/285484674/,"Челябинская область, Челябинск, р-н Советский, пл. Революции, 5",393120 - 1958580,Офис,2511.0,1,5,+79821012055
https://cian.ru/rent/commercial/286083974/,"Челябинская область, Челябинск, р-н Курчатовский, Радонежская ул., 14А",140000,Свобод. назнач.,120.0,1,1,+79124011832
https://cian.ru/rent/commercial/288555372/,"Челябинская область, Челябинск, р-н Центральный, ул. Энтузиастов, 12",15900,Офис,17.0,5,7,+79823609961
https://cian.ru/rent/commercial/288970549/,"Челябинская область, Челябинск, р-н Ленинский, Копейское ш., 35А",44000,Офис,79.1,2,2,+79123059108
https://cian.ru/rent/commercial/289013800/,"Челябинская область, Челябинск, р-н Советский, Троицкий тракт, 21А",22500,Офис,50.0,2,2,+79123059108
https://cian.ru/rent/commercial/289088552/,"Челябинская область, Челябинск, р-н Курчатовский, ул. Чайковского, 7А",36360,Офис,40.4,4,4,+79821050703
https://cian.ru/rent/commercial/293243036/,"Челябинская область, Челябинск, р-н Тракторозаводский, мкр. Тепличный Совхоз, ул. Черничная, 26",60000,Свобод. назнач.,151.0,2,2,+79823003175
