Ссылка,Адрес,Цена,Тип помещения,Площадь,Этаж,Этажей в доме,Телефон
https://cian.ru/rent/commercial/277436722/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Фронтовых Бригад, 15/4",16575,Офис,23.5,3,3,+79126922890
https://cian.ru/rent/commercial/301737558/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Юго-Западный, ул. Громова",150000,Офис,225.0,1,3,+79126107457
https://cian.ru/rent/commercial/310930269/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Химмаш, ул. Грибоедова, 34",52740,Офис,87.9,3,3,+79826883985
https://cian.ru/rent/commercial/317380550/,"Свердловская область, Екатеринбург, р-н Центр, ул. Горького, 17Б",1060000,Офис,442.7,1,4,+79120503429
https://cian.ru/rent/commercial/319948361/,"Свердловская область, Екатеринбург, р-н Центр, ул. Добролюбова, 16/2",840000,Офис,600.0,3,10,+79126421912
https://cian.ru/rent/commercial/320107284/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Заречный, ул. Черепанова, 25",38000,Офис,40.0,2,5,+79122422533
https://cian.ru/rent/commercial/320107503/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Заречный, ул. Черепанова, 25",57000,Офис,60.0,2,5,+79122422533
https://cian.ru/rent/commercial/320730927/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Заречный, ул. Черепанова, 25",13680000,Офис,120.0,3,5,+79122422533
https://cian.ru/rent/commercial/321070631/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Ботанический, ул. Крестинского, 35",60000,Офис,67.9,3,16,+79122605458
https://cian.ru/rent/commercial/322015575/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, мкр. Юго-Западный, ул. Волгоградская, 193",19780,Офис,15.9,4,15,+79122100216
https://cian.ru/rent/commercial/190286321/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, ул. Большакова, 107",12500,Свобод. назнач.,5.5,1,10,+79122425156
https://cian.ru/rent/commercial/220950438/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Фронтовых Бригад, 18к2",11050,Офис,17.0,3,6,+79826904596
https://cian.ru/rent/commercial/238772726/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, ул. Блюхера, 45",18000,Офис,15.8,1,10,+79827129544
https://cian.ru/rent/commercial/245987159/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Фронтовых Бригад, 18к4",14820,Офис,24.7,2,3,+79826904596
https://cian.ru/rent/commercial/245987672/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Фронтовых Бригад, 18к4",21600,Офис,36.0,2,3,+79826904596
https://cian.ru/rent/commercial/250589320/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Юго-Западный, ул. Волгоградская, 29А",34800,Офис,24.0,1,3,+79122216027
https://cian.ru/rent/commercial/254263898/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, ул. Вилонова, 45В",15000,Офис,30.0,2,3,+79826874782
https://cian.ru/rent/commercial/266958403/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Пионерский, ул. Основинская, 8",30000,Офис,37.1,5,8,+79927032581
https://cian.ru/rent/commercial/268085993/,"Свердловская область, Екатеринбург, р-н Центр, ул. 8 Марта, 51",159200,Офис,79.6,3,11,+79122847640
https://cian.ru/rent/commercial/268393515/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Индустрии, 104",165700,Офис,165.7,1,22,+79126930123
https://cian.ru/rent/commercial/275272526/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Фронтовых Бригад, 18к3",21780,Офис,36.3,3,3,+79826904596
https://cian.ru/rent/commercial/278509377/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, ул. Московская, 195",65000,Офис,40.0,12,12,+79826318770
https://cian.ru/rent/commercial/281800624/,"Свердловская область, Екатеринбург, р-н Центр, ул. Луначарского, 31",20500,Офис,16.0,7,10,+79193810740
https://cian.ru/rent/commercial/282529561/,"Свердловская область, Екатеринбург, р-н Октябрьский, ул. Белинского, 83",36000,Офис,18.0,7,22,+79826703601
https://cian.ru/rent/commercial/283786817/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Фронтовых Бригад, 29",6000 - 13000,Офис,9789.0,2,5,+79120504682
https://cian.ru/rent/commercial/283958903/,"Свердловская область, Екатеринбург, р-н Центр, ул. Розы Люксембург, 22",50000,Офис,44.0,4,10,+79810784906
https://cian.ru/rent/commercial/284878620/,"Свердловская область, Екатеринбург, р-н Октябрьский, пер. Базовый, 37",550000,Офис,500.0,4,4,+79827322215
https://cian.ru/rent/commercial/288002557/,"Свердловская область, Екатеринбург, р-н Центр, ул. Луначарского, 77",164400,Офис,137.0,6,9,+79122414341
https://cian.ru/rent/commercial/290502597/,"Свердловская область, Екатеринбург, мкр. Автовокзал, ул. Цвиллинга, 58",190000,Свобод. назнач.,129.0,1,27,+79126516975
https://cian.ru/rent/commercial/291100306/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, просп. Космонавтов, 21",7000 - 26800,Офис,67.0,2,3,+79126103864
https://cian.ru/rent/commercial/292516033/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, ул. 40-летия Комсомола, 32В",40176,Офис,43.2,3,4,+79126604911
https://cian.ru/rent/commercial/292974742/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, ул. Фрунзе, 96",28800 - 70350,Офис,9135.0,8,11,+79827408706
https://cian.ru/rent/commercial/293253042/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Фронтовых Бригад, 18к3",7800,Офис,13.0,2,3,+79826904596
https://cian.ru/rent/commercial/293303616/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Горный Щит, тракт Полевской",487500,Свобод. назнач.,375.0,1,2,+79826912708
https://cian.ru/rent/commercial/293587955/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, бул. Сиреневый, 8",65000,Офис,77.0,1,16,+79827006025
https://cian.ru/rent/commercial/293653431/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Старая Сортировка, пер. Проходной, 7",20625,Офис,33.0,2,2,+79810786972
https://cian.ru/rent/commercial/295275283/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Завокзальный, ул. Завокзальная, 4А",8325 - 39600,Офис,52.8,2,4,+79126022510
https://cian.ru/rent/commercial/298504821/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Пионерский, ул. Основинская, 10",70500,Офис,70.5,7,20,+79122910130
https://cian.ru/rent/commercial/299005131/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Вокзальный, ул. Героев России, 2",17000,Офис,32.0,-1,8,+79120503989
https://cian.ru/rent/commercial/299495174/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Химмаш, ул. Черняховского, 86к9/3",51310,Офис,73.3,2,9,+79126627189
https://cian.ru/rent/commercial/299758742/,"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Сибирский, ул. Карьерная, 2",29700,Офис,33.0,5,9,+79126915735
https://cian.ru/rent/commercial/299988417/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, ул. 8 Марта, 127",75000,Свобод. назнач.,150.0,-1,5,+79826318909
https://cian.ru/rent/commercial/300178586/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, мкр. Юго-Западный, ул. Московская, 48Б",142600,Офис,142.6,3,3,+79126627189
https://cian.ru/rent/commercial/301341222/,"Свердловская область, Екатеринбург, р-н Центр, ул. Мамина-Сибиряка, 52",133510,Офис,102.7,4,7,+79827308091
https://cian.ru/rent/commercial/303794443/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Старая Сортировка, ул. Монтажников, 26А",32200,Офис,46.0,4,7,+79120312012
https://cian.ru/rent/commercial/304263896/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Химмаш, ул. Черняховского, 66",55000,Свобод. назнач.,90.0,2,3,+79122116236
https://cian.ru/rent/commercial/305411811/,"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Парковый, пл. Обороны, 1",300000,Офис,177.0,1,5,+79126929490
https://cian.ru/rent/commercial/307306805/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Юго-Западный, ул. Чкалова, 5",40000,Офис,20.0,1,16,+79366995761
https://cian.ru/rent/commercial/307537166/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Уктус, пер. Широкий, 6",80000,Офис,101.4,2,27,+79842332570
https://cian.ru/rent/commercial/307665082/,"Свердловская область, Екатеринбург, мкр. Автовокзал, ул. Машинная, 42А",30000,Офис,20.0,3,12,+79827431141
https://cian.ru/rent/commercial/307701952/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Таганская, 79",167500,Офис,250.0,1,16,+79126627189
